Direction,sender,To,Time (UTC),Time (local),Message,Profile,Origin path,Is deleted,Label,line_number,suspicion_score,is_suspicious
Outgoing,Jesus Lowe,Ryan Moore,01/10/2025 16:34,01/11/2025 00:34,family dinner,,,False,normal,1,0.3127079260305171,False
Outgoing,Christina Garrison,Heather Curry,01/15/2025 06:26,01/15/2025 14:26,apa khabar?,,,False,normal,2,0.3127079260305171,False
Outgoing,Jeremy Jenkins,Chris Anderson,01/05/2025 06:34,01/05/2025 14:34,line clear,,,False,drug,3,0.3127079260305171,False
Outgoing,Brittany Hampton,David Dalton,01/11/2025 21:02,01/12/2025 05:02,catch up later,,,False,normal,4,0.3127079260305171,False
Outgoing,David Russell,Erik Dodson,01/02/2025 12:08,01/02/2025 20:08,budak hantar,,,False,drug,5,0.3127079260305171,False
Incoming,Marisa Richards,Tony Evans,01/11/2025 10:21,01/11/2025 18:21,on the way,,,False,normal,6,0.3127079260305171,False
Outgoing,Tyler Lopez,Christopher Martinez,01/22/2025 05:29,01/22/2025 13:29,catch up later,,,False,normal,7,0.3127079260305171,False
Outgoing,Daniel Fry,Anna Lyons,01/17/2025 22:57,01/18/2025 06:57,ok see you tomorrow,,,False,normal,8,0.3127079260305171,False
Outgoing,Mark Roberts,Jason Richardson,01/11/2025 12:48,01/11/2025 20:48,meeting at 3pm,,,False,normal,9,0.3127079260305171,False
Outgoing,Renee Wilson,Stacy Mayer,01/20/2025 07:41,01/20/2025 15:41,ok see you tomorrow,,,False,normal,10,0.3127079260305171,False
Incoming,Jesus Murray,Julia Anderson,01/12/2025 13:04,01/12/2025 21:04,meeting at 3pm,,,False,normal,11,0.3127079260305171,False
Outgoing,Thomas Macdonald IV,Andrew Knight,01/12/2025 21:18,01/13/2025 05:18,exam coming soon,,,False,normal,12,0.3127079260305171,False
Incoming,Steven Delacruz,Brittney Martin,01/09/2025 22:16,01/10/2025 06:16,stuff,,,False,drug,13,0.4681264086466392,True
Incoming,Darrell Giles,Cynthia Chase,01/07/2025 17:21,01/08/2025 01:21,one g,,,False,drug,14,0.3127079260305171,False
Incoming,Timothy Leach,William Wilson,01/09/2025 20:24,01/10/2025 04:24,barang ori,,,False,drug,15,0.4991575369830738,True
Outgoing,Susan Reynolds,Stephanie Shah,01/20/2025 12:10,01/20/2025 20:10,meeting at 3pm,,,False,normal,16,0.3127079260305171,False
Outgoing,Paul Perez,Kara Lopez,01/01/2025 13:14,01/01/2025 21:14,syabu,,,False,drug,17,0.4991575369830738,True
Outgoing,Justin Reyes,Penny Bailey,01/13/2025 01:49,01/13/2025 09:49,football match best,,,False,normal,18,0.3127079260305171,False
