Direction,From,To,Time (UTC),Time (local),Message,Profile,Origin path,Is deleted,Label
Outgoing,Jesus Lowe,Ryan Moore,01/10/2025 16:34,01/11/2025 00:34,family dinner,,,False,normal
Outgoing,Christina Garrison,Heather Curry,01/15/2025 06:26,01/15/2025 14:26,apa khabar?,,,False,normal
Outgoing,Jeremy Jenkins,Chris Anderson,01/05/2025 06:34,01/05/2025 14:34,line clear,,,False,drug
Outgoing,Brittany Hampton,David Dalton,01/11/2025 21:02,01/12/2025 05:02,catch up later,,,False,normal
Outgoing,David Russell,Erik Dodson,01/02/2025 12:08,01/02/2025 20:08,budak hantar,,,False,drug
Incoming,Marisa Richards,Tony Evans,01/11/2025 10:21,01/11/2025 18:21,on the way,,,False,normal
Outgoing,Tyler Lopez,Christopher Martinez,01/22/2025 05:29,01/22/2025 13:29,catch up later,,,False,normal
Outgoing,Daniel Fry,Anna Lyons,01/17/2025 22:57,01/18/2025 06:57,ok see you tomorrow,,,False,normal
Outgoing,Mark Roberts,Jason Richardson,01/11/2025 12:48,01/11/2025 20:48,meeting at 3pm,,,False,normal
Outgoing,Renee Wilson,Stacy Mayer,01/20/2025 07:41,01/20/2025 15:41,ok see you tomorrow,,,False,normal
Incoming,Jesus Murray,Julia Anderson,01/12/2025 13:04,01/12/2025 21:04,meeting at 3pm,,,False,normal
Outgoing,Thomas Macdonald IV,Andrew Knight,01/12/2025 21:18,01/13/2025 05:18,exam coming soon,,,False,normal
Incoming,Steven Delacruz,Brittney Martin,01/09/2025 22:16,01/10/2025 06:16,stuff,,,False,drug
Incoming,Darrell Giles,Cynthia Chase,01/07/2025 17:21,01/08/2025 01:21,one g,,,False,drug
Incoming,Timothy Leach,William Wilson,01/09/2025 20:24,01/10/2025 04:24,barang ori,,,False,drug
Outgoing,Susan Reynolds,Stephanie Shah,01/20/2025 12:10,01/20/2025 20:10,meeting at 3pm,,,False,normal
Outgoing,Paul Perez,Kara Lopez,01/01/2025 13:14,01/01/2025 21:14,syabu,,,False,drug
Outgoing,Justin Reyes,Penny Bailey,01/13/2025 01:49,01/13/2025 09:49,football match best,,,False,normal
Outgoing,Cody Perez,Michael Smith,01/15/2025 21:11,01/16/2025 05:11,assignment siap?,,,False,normal
Outgoing,Michael Perez,Jordan Gomez,01/02/2025 05:35,01/02/2025 13:35,冰毒,,,False,drug
Outgoing,Kristin Baird,Kelly Wu,01/05/2025 08:32,01/05/2025 16:32,line clear,,,False,drug
Outgoing,Christine Duncan,Oscar Blanchard,01/19/2025 16:08,01/20/2025 00:08,jalan-jalan,,,False,normal
Incoming,Sharon Jackson,Janet Allen,01/03/2025 22:29,01/04/2025 06:29,paket,,,False,drug
Outgoing,Alicia Gillespie,Brandon Love,01/16/2025 15:18,01/16/2025 23:18,game tonight,,,False,normal
Incoming,Glenn Dunn,Lisa Gillespie,01/09/2025 00:46,01/09/2025 08:46,syabu,,,False,drug
Incoming,Rachel Fuller,Jessica Jenkins,01/05/2025 23:00,01/06/2025 07:00,one g,,,False,drug
Incoming,Becky Woods,Joseph Gregory,01/12/2025 16:43,01/13/2025 00:43,football match best,,,False,normal
Incoming,Joseph Barron,Summer Cisneros,01/02/2025 11:56,01/02/2025 19:56,白粉,,,False,drug
Outgoing,Michael Huynh Jr.,Karen Roman,01/03/2025 12:35,01/03/2025 20:35,ubat kuat,,,False,drug
Outgoing,Michelle Davis,Cynthia Robinson,01/16/2025 19:49,01/17/2025 03:49,lunch break,,,False,normal
Outgoing,Martha Hernandez,Angel Hale,01/02/2025 20:51,01/03/2025 04:51,白粉,,,False,drug
Outgoing,Deanna Rivera,Katie Simpson,01/05/2025 08:58,01/05/2025 16:58,ubat kuat,,,False,drug
Outgoing,Dana Gibson,Kayla Hernandez,01/18/2025 12:15,01/18/2025 20:15,game tonight,,,False,normal
Incoming,Scott Beck,Joshua Farmer,01/07/2025 17:05,01/08/2025 01:05,line clear,,,False,drug
Incoming,Cory West,Christopher Vasquez,01/21/2025 05:22,01/21/2025 13:22,later go movie,,,False,normal
Outgoing,Jennifer Bautista,Ian Williams,01/13/2025 16:16,01/14/2025 00:16,assignment siap?,,,False,normal
Incoming,John Diaz,Marie Davis,01/05/2025 23:30,01/06/2025 07:30,syabu,,,False,drug
Outgoing,Scott Mccann,Mark Bennett,01/17/2025 08:36,01/17/2025 16:36,see you at mall,,,False,normal
Outgoing,Yolanda Barker,Laura Wilson,01/09/2025 11:06,01/09/2025 19:06,smoke,,,False,drug
Outgoing,Michael Russell,Sarah Wilson PhD,01/10/2025 13:13,01/10/2025 21:13,family dinner,,,False,normal
Outgoing,Teresa Rose,Christopher Nelson,01/21/2025 15:34,01/21/2025 23:34,on the way,,,False,normal
Incoming,Michael Wright DDS,Katherine Luna,01/06/2025 20:55,01/07/2025 04:55,line clear,,,False,drug
Incoming,Jessica Stokes,Dr. Julie Ortiz,01/02/2025 17:33,01/03/2025 01:33,pil kuda,,,False,drug
Outgoing,Dr. Diane Dixon,Bradley Hanson,01/12/2025 07:36,01/12/2025 15:36,jom makan,,,False,normal
Incoming,Chase Hampton,Stephanie Sanchez,01/18/2025 09:20,01/18/2025 17:20,later go movie,,,False,normal
Outgoing,David Williams,Wendy Barber,01/18/2025 06:55,01/18/2025 14:55,see you at mall,,,False,normal
Outgoing,Natalie Miller,Rebecca Cherry,01/16/2025 18:55,01/17/2025 02:55,on the way,,,False,normal
Outgoing,Robert Kane,Lawrence Hurst,01/20/2025 19:06,01/21/2025 03:06,assignment siap?,,,False,normal
Incoming,Thomas Cook,Jackson Carey,01/20/2025 03:03,01/20/2025 11:03,jom makan,,,False,normal
Outgoing,Matthew Aguilar,Jennifer Beltran,01/21/2025 11:39,01/21/2025 19:39,meeting at 3pm,,,False,normal
Outgoing,Johnny Johnson,Vincent Brown,01/05/2025 04:52,01/05/2025 12:52,half g,,,False,drug
Outgoing,Veronica Glenn,Melissa Daugherty,01/13/2025 10:56,01/13/2025 18:56,see you at mall,,,False,normal
Outgoing,Michael Taylor,Matthew Donaldson,01/19/2025 20:48,01/20/2025 04:48,ok see you tomorrow,,,False,normal
Incoming,Marcus Doyle,James Short,01/08/2025 23:43,01/09/2025 07:43,pil kuda,,,False,drug
Incoming,Ronald Bennett,Katherine Clark,01/14/2025 00:48,01/14/2025 08:48,apa khabar?,,,False,normal
Incoming,Jesus King,Jessica Wood,01/06/2025 04:21,01/06/2025 12:21,line clear,,,False,drug
Outgoing,Regina Ramirez,Rachel Hobbs,01/10/2025 18:02,01/11/2025 02:02,family dinner,,,False,normal
Outgoing,Theresa Ward,James Hall,01/06/2025 02:35,01/06/2025 10:35,port biasa,,,False,drug
Outgoing,Seth Riley,Chad Diaz,01/19/2025 20:40,01/20/2025 04:40,drive safe,,,False,normal
Outgoing,Katelyn Jimenez,Melissa Stewart,01/06/2025 03:54,01/06/2025 11:54,check line,,,False,drug
Incoming,Ryan Smith,Danielle Saunders,01/11/2025 03:11,01/11/2025 11:11,apa khabar?,,,False,normal
Outgoing,Cassandra Phillips,Derrick Tucker,01/19/2025 23:18,01/20/2025 07:18,good night,,,False,normal
